id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,applicablestate
1,2025-08-06T06:10:55.332,2025-08-06T06:10:55.332,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Alabama
2,2025-08-06T06:10:55.333,2025-08-06T06:10:55.333,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Alaska
3,2025-08-06T06:10:55.333,2025-08-06T06:10:55.333,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,American Samoa
4,2025-08-06T06:10:55.333,2025-08-06T06:10:55.333,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Arizona
5,2025-08-06T06:10:55.333,2025-08-06T06:10:55.333,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Arkansas
6,2025-08-06T06:10:55.334,2025-08-06T06:10:55.334,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Baker Island
7,2025-08-06T06:10:55.334,2025-08-06T06:10:55.334,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,California
8,2025-08-06T06:10:55.334,2025-08-06T06:10:55.334,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Colorado
9,2025-08-06T06:10:55.334,2025-08-06T06:10:55.334,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Connecticut
10,2025-08-06T06:10:55.335,2025-08-06T06:10:55.335,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Delaware
11,2025-08-06T06:10:55.335,2025-08-06T06:10:55.335,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,District of Columbia
12,2025-08-06T06:10:55.335,2025-08-06T06:10:55.335,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Florida
13,2025-08-06T06:10:55.335,2025-08-06T06:10:55.335,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Georgia
14,2025-08-06T06:10:55.336,2025-08-06T06:10:55.336,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Guam
15,2025-08-06T06:10:55.336,2025-08-06T06:10:55.336,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Hawaii
16,2025-08-06T06:10:55.336,2025-08-06T06:10:55.336,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Howland Island
17,2025-08-06T06:10:55.337,2025-08-06T06:10:55.337,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Idaho
18,2025-08-06T06:10:55.337,2025-08-06T06:10:55.337,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Illinois
19,2025-08-06T06:10:55.337,2025-08-06T06:10:55.337,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Indiana
20,2025-08-06T06:10:55.338,2025-08-06T06:10:55.338,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Iowa
21,2025-08-06T06:10:55.338,2025-08-06T06:10:55.338,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Jarvis Island
22,2025-08-06T06:10:55.338,2025-08-06T06:10:55.338,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Johnston Atoll
23,2025-08-06T06:10:55.339,2025-08-06T06:10:55.339,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Kansas
24,2025-08-06T06:10:55.339,2025-08-06T06:10:55.339,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Kentucky
25,2025-08-06T06:10:55.339,2025-08-06T06:10:55.339,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Kingman Reef
26,2025-08-06T06:10:55.339,2025-08-06T06:10:55.339,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Louisiana
27,2025-08-06T06:10:55.34,2025-08-06T06:10:55.34,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Maine
28,2025-08-06T06:10:55.34,2025-08-06T06:10:55.34,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Maryland
29,2025-08-06T06:10:55.34,2025-08-06T06:10:55.34,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Massachusetts
30,2025-08-06T06:10:55.341,2025-08-06T06:10:55.341,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Michigan
31,2025-08-06T06:10:55.341,2025-08-06T06:10:55.341,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Midway Atoll
32,2025-08-06T06:10:55.341,2025-08-06T06:10:55.341,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Minnesota
33,2025-08-06T06:10:55.341,2025-08-06T06:10:55.341,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Mississippi
34,2025-08-06T06:10:55.342,2025-08-06T06:10:55.342,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Missouri
35,2025-08-06T06:10:55.342,2025-08-06T06:10:55.342,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Montana
36,2025-08-06T06:10:55.342,2025-08-06T06:10:55.342,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Navassa Island
37,2025-08-06T06:10:55.343,2025-08-06T06:10:55.343,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Nebraska
38,2025-08-06T06:10:55.343,2025-08-06T06:10:55.343,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Nevada
39,2025-08-06T06:10:55.343,2025-08-06T06:10:55.343,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,New Hampshire
40,2025-08-06T06:10:55.344,2025-08-06T06:10:55.344,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,New Jersey
41,2025-08-06T06:10:55.344,2025-08-06T06:10:55.344,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,New Mexico
42,2025-08-06T06:10:55.344,2025-08-06T06:10:55.344,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,New York
43,2025-08-06T06:10:55.344,2025-08-06T06:10:55.344,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,North Carolina
44,2025-08-06T06:10:55.345,2025-08-06T06:10:55.345,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,North Dakota
45,2025-08-06T06:10:55.345,2025-08-06T06:10:55.345,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Northern Mariana Islands
46,2025-08-06T06:10:55.345,2025-08-06T06:10:55.345,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Ohio
47,2025-08-06T06:10:55.346,2025-08-06T06:10:55.346,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Oklahoma
48,2025-08-06T06:10:55.346,2025-08-06T06:10:55.346,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Oregon
49,2025-08-06T06:10:55.346,2025-08-06T06:10:55.346,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Palmyra Atoll
50,2025-08-06T06:10:55.346,2025-08-06T06:10:55.346,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Pennsylvania
51,2025-08-06T06:10:55.358,2025-08-06T06:10:55.358,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Puerto Rico
52,2025-08-06T06:10:55.358,2025-08-06T06:10:55.358,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Rhode Island
53,2025-08-06T06:10:55.359,2025-08-06T06:10:55.359,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,South Carolina
54,2025-08-06T06:10:55.359,2025-08-06T06:10:55.359,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,South Dakota
55,2025-08-06T06:10:55.359,2025-08-06T06:10:55.359,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Tennessee
56,2025-08-06T06:10:55.359,2025-08-06T06:10:55.359,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Texas
57,2025-08-06T06:10:55.36,2025-08-06T06:10:55.36,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,United States Minor Outlying Islands
58,2025-08-06T06:10:55.36,2025-08-06T06:10:55.36,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,United States Virgin Islands
59,2025-08-06T06:10:55.36,2025-08-06T06:10:55.36,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Utah
60,2025-08-06T06:10:55.361,2025-08-06T06:10:55.361,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Vermont
61,2025-08-06T06:10:55.361,2025-08-06T06:10:55.361,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Virginia
62,2025-08-06T06:10:55.361,2025-08-06T06:10:55.361,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Wake Island
63,2025-08-06T06:10:55.361,2025-08-06T06:10:55.361,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Washington
64,2025-08-06T06:10:55.362,2025-08-06T06:10:55.362,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,West Virginia
65,2025-08-06T06:10:55.362,2025-08-06T06:10:55.362,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Wisconsin
66,2025-08-06T06:10:55.362,2025-08-06T06:10:55.362,nikhil.kolisetty@rite.digital,nikhil.kolisetty@rite.digital,Wyoming
